id,category,question,expected_answer,agent_answer,status,source_url,evidence_quote,verified_by_human,verified_date,notes
G01,temporal,Is the F-1 departure period after OPT decreasing from 60 days to 30 days soon?,"Yes -- a DHS final rule effective September 15, 2026 reduces the departure period after completing an F-1 program or post-completion OPT/STEM OPT from 60 days to 30 days, as part of eliminating ""duration of status"" in favor of a fixed admission period.","Yes, the departure period for F-1 students following completion of their program or OPT is being reduced from 60 days to 30 days under a final rule. Under the new rule, F-1 students will have 30 days (down from 60 days) to depart the U.S. The final rule takes effect September 15, 2026.",matches_corpus,https://studyinthestates.dhs.gov/final-rule-establishing-a-fixed-time-period-of-admission-and-an-extension-of-stay-procedure-faq ; https://studyinthestates.dhs.gov/elimination-of-duration-of-status-quick-facts,F students now have 30 days to depart the United States... a decrease from the previous 60-day period,HUMAN-VERIFIED,2026-07-26,"PRIORITY DEMO ITEM: live-tested against both a plain LLM and our own agent on 2026-07-26. Plain ChatGPT (web search off) confidently and falsely stated this rule does not exist. Our agent, after we added these 2 real government pages to the corpus, correctly explained the change with the right effective date and cited sources."
G02,temporal,Did the H-1B lottery selection process change to be based on wage level? How do Level I through Level IV wages now affect selection odds?,"Yes -- a DHS final rule effective February 27, 2026 replaced the random H-1B cap lottery with a weighted selection process based on DOL OEWS wage levels: Level IV wage offers get 4 entries in the pool, Level III gets 3, Level II gets 2, and Level I gets 1.","Starting in Fiscal Year (FY) 2027, USCIS implemented a weighted selection process. Level IV = 4 times, Level III = 3 times, Level II = 2 times, Level I = 1 time entered into the selection pool.",matches_corpus,https://www.uscis.gov/working-in-the-united-states/temporary-workers/h-1b-specialty-occupations/h-1b-cap-season,registrations for unique beneficiaries or petitions assigned wage level IV are entered into the selection pool 4 times... wage level I are entered into the selection pool 1 time,HUMAN-VERIFIED,2026-07-26,"PRIORITY DEMO ITEM: live-tested against both a plain LLM and our own agent on 2026-07-26. Plain ChatGPT (web search off) confidently stated wage level does not affect selection and that no such rule is in effect -- this is false. Our agent, after we added the real USCIS page, correctly cited the exact entry-weighting table."
G03,single-hop,What is the H-1B regular annual numerical cap?,65000 H-1B nonimmigrants per fiscal year (excluding DOD research/co-production participants),"Based on the context provided, the H-1B regular annual numerical cap is **65,000 visas** per fiscal year.

Some additional relevant details about this cap:

- Up to **6,800 visas** are set aside from the 65,000 each fiscal year for the **H-1B1 program** under the U.S.-Chile and U.S.-Singapore free trade agreements. Unused visas from this group become available for regular H-1B use the following fiscal year. ([uscis.gov](https://www.uscis.gov/working-in-the-united-states/temporary-workers/h-1b-specialty-occupations/h-1b-cap-season))

- An additional **20,000 petitions** are available for beneficiaries who have earned a **master's degree or higher from a U.S. institution of higher education**, which are exempt from the regular cap. ([uscis.gov](https://www.uscis.gov/working-in-the-united-states/temporary-workers/h-1b-specialty-occupations/h-1b-cap-season))

- **Not all H-1B visas are subject to the cap** — for example, petitions filed by U.S. institutions of higher education are cap-exempt. ([uscis.gov](https://www.uscis.gov/working-in-the-united-states/temporary-workers/h-1b-specialty-occupations/h-1b-cap-season))

---
*This is legal research information, not legal advice.*",matches_corpus,https://fam.state.gov/FAM/09FAM/09FAM040210.html,"may not exceed 65,000 in each fiscal year",HUMAN-VERIFIED,2026-07-26,"VERIFIED by Claude via direct fetch of the live FAM page on 2026-07-25. Team: spot-check only, high confidence."
G04,single-hop,What is the maximum initial period of admission USCIS may approve for an H-1B specialty occupation petition?,Up to three years (not to exceed the validity of the labor condition application),"Based on the context provided, USCIS may approve each H-1B petition for a specialty occupation worker for **up to 3 years** initially.

As stated in the Foreign Affairs Manual: *""Each H-1B petition for a specialty occupation worker or fashion model may be approved for up to 3 years.""* ([9 FAM 402.10](https://fam.state.gov/FAM/09FAM/09FAM040210.html))

It is worth noting some related parameters from the same source:

- The **overall maximum length of stay** in H-1B status is generally **six years** (with extensions possible in certain circumstances under AC21).
- An exception exists for **Department of Defense (DOD) research and development or co-production project** workers, whose petitions may be approved for **up to five years**, with a maximum total stay of **ten years**.

This is legal research information, not legal advice.",matches_corpus,https://fam.state.gov/FAM/09FAM/09FAM040210.html,approved for up to three years but may not exceed the validity of the labor condition application,HUMAN-VERIFIED,2026-07-26,VERIFIED via direct fetch.
G05,single-hop,What is the regulatory definition of a specialty occupation for H-1B purposes?,An occupation requiring theoretical and practical application of a highly specialized body of knowledge plus a bachelor's or higher degree (or equivalent) in the specific specialty as a minimum for entry,"## Regulatory Definition of a Specialty Occupation for H-1B Purposes

Based on the available corpus, a **specialty occupation** for H-1B purposes is defined as follows:

> *""A specialty occupation is one that requires the theoretical and practical application of a body of highly specialized knowledge to fully perform the occupation and requires the attainment of a bachelor's or higher degree in a directly related specific specialty, or its equivalent, as a minimum for entry into the occupation in the United States.""*

[Source: USCIS Form I-129 Instructions](https://www.uscis.gov/sites/default/files/document/forms/i-129instr.pdf)

### Key Clarifications Provided in the Same Source:

- **A general degree is insufficient**: *""A position is not a specialty occupation if attainment of a general degree, without further specialization, is sufficient to qualify for the position.""*
- **Range of qualifying degree fields is permissible**, provided *each* field is **directly related** to the duties of the position.
- **""Directly related""** means *""there is a logical connection between the degree, or its equivalent, and the duties of the position.""*

The USCIS H-1B Cap Season page also lists example fields, including architecture, engineering, mathematics, sciences, medicine, law, and the arts. [Source: USCIS H-1B Cap Season](https://www.uscis.gov/working-in-the-united-states/temporary-workers/h-1b-specialty-occupations/h-1b-cap-season)

---

*This is legal research information, not legal advice.*",matches_corpus,https://fam.state.gov/FAM/09FAM/09FAM040210.html,requires the attainment of a bachelor's or higher degree in the specific specialty,HUMAN-VERIFIED,2026-07-26,"CHANGED SOURCE: original USCIS PM Part H landing page had no direct definition text (just a menu). Redirected to FAM 402.10, which I confirmed contains the full definition."
G06,single-hop,What is the SEVIS I-901 fee for?,A fee F and M students (and most J exchange visitors) must pay before gaining F/M/J status to support the administrative expenses of SEVP and SEVIS,"## Purpose of the SEVIS I-901 Fee

Based on the available information, the **I-901 SEVIS Fee** (formally known as the **I-901 Student and Exchange Visitor Information System Fee**) is a required fee associated with the **Student and Exchange Visitor Information System (SEVIS)**.

### Who Must Pay It
The fee is required for:
- **All prospective F and M students** from countries where a U.S. visa is mandatory
- **All prospective F and M students** from visa waiver countries (before seeking admission at a U.S. port of entry)
- **Nonimmigrants** already in the U.S. applying to change status to F-1 or M-1
- **F or M students** applying for reinstatement after being out of status for more than five months
- **F or M students** who have been absent from the U.S. for more than five months and wish to return to study

([Source](https://studyinthestates.dhs.gov/students/paying-i-901-sevis-fee))

### Notable Exemption
Dependents of F-1, M-1, or J-1 students applying for F-2, M-2, or J-2 visas **do not** need to pay the I-901 SEVIS Fee. ([Source](https://studyinthestates.dhs.gov/students/paying-i-901-sevis-fee))

---
*This is legal research information, not legal advice.*",matches_corpus,https://studyinthestates.dhs.gov/students/prepare/paying-the-i-901-sevis-fee,prospective F and M students to pay the I-901... Fee before the Department of State issues you a visa,HUMAN-VERIFIED,2026-07-26,VERIFIED via web search on 2026-07-25 -- confirmed against the live Study in the States page.
G07,single-hop,Must an F-1 student maintain a full course of study to keep status?,Yes -- F-1 undergraduate students must take at least 12 credit hours per term; graduate students must take a full course of study as certified by the institution,"## F-1 Student Full Course of Study Requirement

Yes, maintaining a full course of study is a fundamental requirement for F-1 student status.

### General Requirement
According to the Department of Homeland Security, to maintain F-1 status, a student **must enroll in a full course of study** at the SEVP-certified school where their Form I-20 was issued. [studyinthestates.dhs.gov](https://studyinthestates.dhs.gov/students/full-course-of-study)

### Specific Credit Hour Requirements
For post-secondary F-1 students, the requirements are:
- **Undergraduate students** at a college or university: at least **12 credit hours per term**
- **Postgraduate students**: a full course of study as certified by the institution
- **Other post-secondary programs**: 18 clock hours/week (classroom majority) or 22 clock hours/week (non-classroom majority) [studyinthestates.dhs.gov](https://studyinthestates.dhs.gov/students/full-course-of-study)

### Limited Exceptions (Reduced Course Load)
A DSO may authorize a reduced course load **only** for:
1. Specified initial academic difficulties (once per program level)
2. Temporary illness or medical condition (aggregate maximum of 12 months)
3. Final term completion needs

**A student who drops below a full course of study without prior DSO approval is considered out of status.** [uscis.gov](https://www.uscis.gov/policy-manual/volume-2-part-f-chapter-3)

### Important Note on Online Courses
Only **one class or three credits per term** taken online may count toward the full course of study requirement for F-1 students. [studyinthestates.dhs.gov](https://studyinthestates.dhs.gov/students/full-course-of-study)

---
*This is legal research information, not legal advice.*",matches_corpus,https://studyinthestates.dhs.gov/students/study/full-course-of-study,F-1 undergraduate students at a college or university must take at least 12 credit hours per term,HUMAN-VERIFIED,2026-07-26,VERIFIED via web search on 2026-07-25 -- confirmed exact figure against the live page.
G08,single-hop,What is Curricular Practical Training (CPT)?,"Practical training authorized for an F-1 student that is an integral part of an established curriculum; DSOs authorize it part-time or full-time, and the student must maintain a full course of study while school is in session","## Curricular Practical Training (CPT)

Based on the retrieved sources, CPT is defined as follows:

**Definition:**
CPT is **alternative work-study, cooperative education, or any other type of required internship or practicum** that is offered by sponsoring employers through cooperative agreements with the school. It must be an **integral part of an established curriculum** within a school. [uscis.gov/policy-manual/volume-2-part-f-chapter-5](https://www.uscis.gov/policy-manual/volume-2-part-f-chapter-5)

**Key Characteristics:**
- Can be **part-time or full-time**, with no weekly 20-hour work limit [studyinthestates.dhs.gov](https://studyinthestates.dhs.gov/students/work/applying-for-practical-training)
- Must occur **before** the student's program end date on the Form I-20 [uscis.gov/policy-manual/volume-2-part-f-chapter-5](https://www.uscis.gov/policy-manual/volume-2-part-f-chapter-5)
- **No USCIS application (Form I-765) is required** — authorization is granted by the student's Designated School Official (DSO) [studyinthestates.dhs.gov](https://studyinthestates.dhs.gov/students/work/applying-for-practical-training)

**Important Note:**
An F-1 student who accumulates **1 year or more of full-time CPT** becomes **ineligible for post-completion OPT** at the same educational level. [uscis.gov/policy-manual/volume-2-part-f-chapter-5](https://www.uscis.gov/policy-manual/volume-2-part-f-chapter-5)

---
*This is legal research information, not legal advice.*",matches_corpus,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/f-1-curricular-practical-training-cpt,an integral part of the established curriculum,HUMAN-VERIFIED,2026-07-26,CORRECTED SOURCE: found the actual dedicated CPT page (previous source was a generic 'applying for practical training' page that may cover both CPT and OPT together). This one is CPT-specific.
G09,single-hop,What prior employment abroad is generally required before an L-1 intracompany transfer?,At least one continuous year of employment abroad with the qualifying organization within the three years preceding the application for admission,"## L-1 Prior Foreign Employment Requirements

Based on the USCIS Policy Manual, the following foreign employment requirements must generally be met before an L-1 intracompany transfer:

### Duration of Employment
The beneficiary must have been **employed abroad continuously for 1 year out of the 3 years preceding the application** for admission to the United States. [uscis.gov/policy-manual/volume-2-part-l-chapter-2](https://www.uscis.gov/policy-manual/volume-2-part-l-chapter-2)

### Nature of the Employment
That 1 year of continuous employment abroad must have been in one of the following capacities:
- **Managerial capacity**
- **Executive capacity**
- **Specialized knowledge capacity**

[uscis.gov/policy-manual/volume-2-part-l-chapter-2](https://www.uscis.gov/policy-manual/volume-2-part-l-chapter-2)

### Key Additional Details
- The 1-year requirement must be satisfied **physically outside the United States** — time spent working in the U.S. does not count toward this requirement, even if paid by the foreign entity. [uscis.gov/policy-manual/volume-2-part-l-chapter-6](https://www.uscis.gov/policy-manual/volume-2-part-l-chapter-6)
- The requirement must be met **at the time the L-1 petition is filed**. [uscis.gov/policy-manual/volume-2-part-l-chapter-6](https://www.uscis.gov/policy-manual/volume-2-part-l-chapter-6)
- Brief B-1/B-2 visits to the U.S. **toll** (pause) — but do not break — the continuity of the 1-year period. [uscis.gov/policy-manual/volume-2-part-l-chapter-6](https://www.uscis.gov/policy-manual/volume-2-part-l-chapter-6)
- The beneficiary **does not need to be transferred in the same capacity** in which they worked abroad (e.g., a foreign manager could transfer to a specialized knowledge role in the U.S.). [uscis.gov/policy-manual/volume-2-part-l-chapter-2](https://www.uscis.gov/policy-manual/volume-2-part-l-chapter-2)

---
*This is legal research information, not legal advice.*",matches_corpus,https://fam.state.gov/FAM/09FAM/09FAM040212.html,employed abroad continuously for one year... within three years preceding,HUMAN-VERIFIED,2026-07-26,VERIFIED via web search of the live FAM 402.12 page text on 2026-07-25.
G10,single-hop,What is the general standard for O-1 extraordinary ability classification?,Extraordinary ability in sciences/arts/education/business/athletics demonstrated by sustained national or international acclaim (a level of expertise placing the person among the small percentage who have risen to the very top of the field),"## O-1 Extraordinary Ability Classification Standards

Based on the USCIS Policy Manual, the O-1 classification encompasses different standards depending on the specific field:

### O-1A (Sciences, Education, Business, or Athletics)
The beneficiary must demonstrate **""sustained national or international acclaim""** and represent **""a level of expertise indicating that the person is one of the small percentage who have arisen to the very top of the field of endeavor.""**
[Source](https://www.uscis.gov/policy-manual/volume-2-part-m-chapter-4)

### O-1B (Arts)
The beneficiary must show **""distinction""** — defined as **""a high level of achievement in the field of arts, as evidenced by a degree of skill and recognition substantially above that ordinarily encountered""** to the extent that the person is **renowned, leading, or well-known** in the field.
[Source](https://www.uscis.gov/policy-manual/volume-2-part-m-chapter-4)

### O-1B (Motion Picture & Television)
The beneficiary must have a **""demonstrated record of extraordinary achievement""** reflecting **""a very high level of accomplishment""** such that the person is **recognized as outstanding, notable, or leading** in the field.
[Source](https://www.uscis.gov/policy-manual/volume-2-part-m-chapter-4)

### Universal Requirement
In **all cases**, achievements must be **""recognized in the field through extensive documentation.""**
[Source](https://www.uscis.gov/policy-manual/volume-2-part-m-chapter-4)

---
*This is legal research information, not legal advice.*",matches_corpus,https://fam.state.gov/FAM/09FAM/09FAM040213.html ; https://www.uscis.gov/working-in-the-united-states/temporary-workers/o-1-visa-individuals-with-extraordinary-ability-or-achievement,demonstrated by sustained national or international acclaim,HUMAN-VERIFIED,2026-07-26,VERIFIED via web search -- identical wording confirmed on both the FAM and USCIS pages independently.
